created_at,base,exchange,ticket1,ticket2,ticket3,profit
2019-08-21T02:49:44.660Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.2432
2019-08-21T02:49:58.503Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.2612
2019-08-21T02:50:14.859Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.2949
2019-08-21T02:50:28.723Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.2735
2019-08-21T02:50:43.612Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.1929
2019-08-21T02:50:54.142Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.2023
2019-08-21T02:51:09.110Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.1956
2019-08-21T02:51:29.945Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.2405
2019-08-21T02:51:44.072Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.2142
2019-08-21T02:51:59.143Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.2404
2019-08-21T02:52:16.010Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.2142
2019-08-21T02:52:29.178Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.2497
2019-08-21T02:52:44.041Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.2526
2019-08-21T02:52:57.514Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.2951
2019-08-21T02:53:13.359Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.2938
2019-08-21T02:53:29.465Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.2914
2019-08-21T02:53:44.297Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.3027
2019-08-21T02:54:00.533Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.1849
2019-08-21T02:54:10.175Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.1818
2019-08-21T02:54:29.756Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.1494
2019-08-21T02:54:44.630Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.1388
2019-08-21T02:54:59.673Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.1908
2019-08-21T02:55:14.634Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.1803
2019-08-21T02:55:24.535Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.1856
2019-08-21T02:55:45.447Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.1273
2019-08-21T02:55:59.556Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.1812
2019-08-21T02:56:14.096Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.1373
2019-08-21T02:56:30.078Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.1461
2019-08-21T02:56:45.113Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.1561
2019-08-21T02:57:01.167Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.1363
2019-08-21T02:57:31.159Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.1505
2019-08-21T02:57:46.044Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.1238
2019-08-21T02:58:01.597Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.122
2019-08-21T02:58:16.081Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.1843
2019-08-21T02:58:31.423Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.1794
2019-08-21T02:58:47.871Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.0511
2019-08-21T02:59:30.878Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.0558
2019-08-21T03:00:00.710Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.056
2019-08-21T03:01:00.945Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.0503
2019-08-21T03:01:16.909Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.0561
2019-08-21T03:01:31.301Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.0561
2019-08-21T03:02:01.175Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.0734
2019-08-21T03:02:17.118Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.0877
2019-08-21T03:03:17.281Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.1201
2019-08-21T03:03:47.782Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.1327
2019-08-21T03:04:02.121Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.1794
2019-08-21T03:04:15.727Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.1351
2019-08-21T03:04:32.961Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.1441
2019-08-21T03:04:47.008Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.1783
2019-08-21T03:05:02.048Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.1566
2019-08-21T03:05:18.943Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.1355
2019-08-21T03:05:34.274Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.1451
2019-08-21T03:05:48.209Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.1577
2019-08-21T03:05:57.034Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.1433
2019-08-21T03:06:18.084Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.1765
2019-08-21T03:06:32.559Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.1876
2019-08-21T03:06:48.234Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.1765
2019-08-21T03:07:02.386Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.18
2019-08-21T03:07:18.291Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.1845
2019-08-21T03:07:32.601Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.3014
2019-08-21T03:07:47.712Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.1245
2019-08-21T03:08:02.842Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.1518
2019-08-21T03:08:18.586Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.122
2019-08-21T03:08:47.880Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.1547
2019-08-21T03:09:04.115Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.1493
2019-08-21T03:09:19.910Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.1478
2019-08-21T03:09:33.080Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.1302
2019-08-21T03:09:48.121Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.1529
