BTC | BNB/BTC > ETC/BNB > ETC/BTC | kucoin > binance > kraken | profit: 1.1367209785992713 %
BTC | XRP/BTC > TRX/XRP > TRX/BTC | kucoin > binance > livecoin | profit: 0.1948281735887747 %
BTC | BTC/USDC > ETC/USDC > ETC/BTC | gateio > poloniex > kraken | profit: 0.3608288256024821 %
BTC | BTC/USDC > ETC/USDC > ETC/BTC | gateio > binance > kraken | profit: 0.7734086161617313 %
BTC | BTC/USDT > ETC/USDT > ETC/BTC | gateio > bittrex > kraken | profit: 0.7204664529663205 %
BTC | BTC/USDT > ETC/USDT > ETC/BTC | gateio > poloniex > kraken | profit: 1.0310775243169275 %
BTC | BTC/USDT > ETC/USDT > ETC/BTC | gateio > hitbtc > kraken | profit: 0.8261442722539556 %
BTC | BTC/USDT > TRX/USDT > TRX/BTC | gateio > binance > livecoin | profit: 0.135523616850179 %
BTC | BTC/USDT > ETC/USDT > ETC/BTC | gateio > binance > kraken | profit: 1.2847858156979726 %
BTC | BTC/USDT > ETC/USDT > ETC/BTC | gateio > kucoin > kraken | profit: 1.24620057003564 %
BTC | BTC/USDT > TRX/USDT > TRX/BTC | gateio > kucoin > livecoin | profit: 0.14182184463915348 %
BTC | BTC/USDT > ETC/USDT > ETC/BTC | gateio > gateio > kraken | profit: 1.027323892088134 %
BTC | BTC/USDT > ETC/USDT > ETC/BTC | gateio > cointiger > kraken | profit: 0.9998508323847375 %
BTC | ETH/BTC > ETC/ETH > ETC/BTC | gateio > bittrex > kraken | profit: 0.587114859114493 %
BTC | ETH/BTC > ETC/ETH > ETC/BTC | gateio > poloniex > kraken | profit: 0.3457308645100454 %
BTC | ETH/BTC > ETC/ETH > ETC/BTC | gateio > hitbtc > kraken | profit: 0.6744838637119273 %
BTC | ETH/BTC > ETC/ETH > ETC/BTC | gateio > binance > kraken | profit: 1.0875744176663886 %
BTC | ETH/BTC > TRX/ETH > TRX/BTC | gateio > binance > livecoin | profit: 0.05140145091885984 %
BTC | ETH/BTC > ETC/ETH > ETC/BTC | gateio > kucoin > kraken | profit: 0.9861130381663514 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | gateio > kraken > bittrex | profit: 0.8594969338978302 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | gateio > kraken > kraken | profit: 0.6854235524813532 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | gateio > kraken > poloniex | profit: 0.7746309566920644 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | gateio > kraken > hitbtc | profit: 0.7924724375342009 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | gateio > kraken > binance | profit: 0.7508423155692157 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | gateio > kraken > kucoin | profit: 0.7805781169727766 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | gateio > kraken > gateio | profit: 0.6675820716392167 %
