opp_created_at,ord_created_at,symbol,base,quote,buy_at,sell_at,invest.min.base,invest.min.quote,invest.min.profit,invest.min.profit_percent,invest.max.base,invest.max.quote,invest.max.profit,invest.max.profit_percent
2019-09-05T17:58:24.534Z,2019-09-05T17:58:34.806Z,ETC/ETH,ETC,ETH,hitbtc,kraken,17.032744895223836,0.6959444320536001,0.0006959444320536001,0.1,30,1.223181,0.005073517721200016,0.41478061882910344
2019-09-05T17:58:54.535Z,2019-09-05T17:58:58.447Z,ETC/BTC,ETC,BTC,hitbtc,kraken,54.23435786577165,0.03608511184656551,3.608511184656551e-05,0.1,70.01,0.04648664,0.00019100084160399156,0.4108725466155256
2019-09-05T17:58:54.537Z,2019-09-05T17:59:04.927Z,ETC/ETH,ETC,ETH,bittrex,kraken,17.985680150331802,0.7351600667248179,0.000735160066724818,0.1,45.964,1.8730284035999998,0.010249531824166436,0.5472171059694888
2019-09-05T17:58:54.538Z,2019-09-05T17:59:07.458Z,ETC/ETH,ETC,ETH,poloniex,kraken,31.22961919528278,1.2801808038743003,0.0012801808038743004,0.1,45.964,1.8788681298,0.004409805624166152,0.23470543537483726
2019-09-05T17:59:13.462Z,2019-09-05T17:59:17.003Z,ETC/BTC,ETC,BTC,bittrex,kraken,58.37720640226331,0.03887973344218081,3.8879733442180814e-05,0.1,69.08479863,0.045888195794004896,0.00013723540393167227,0.29906471927493283
2019-09-05T17:59:24.533Z,2019-09-05T17:59:25.730Z,ETC/BTC,ETC,BTC,poloniex,kraken,56.67320174118276,0.037730271137937955,3.7730271137937954e-05,0.1,115.51790782,0.0767004252552454,0.0006001055971178448,0.7824019164441396
2019-09-05T17:59:24.534Z,2019-09-05T17:59:28.450Z,ETC/BTC,ETC,BTC,binance,kraken,51.123030391755485,0.03398631849862426,3.398631849862426e-05,0.1,307.66,0.20428624,0.002743540193131999,1.3429882468501055
2019-09-05T17:59:24.538Z,2019-09-05T17:59:31.886Z,ETC/ETH,ETC,ETH,binance,kraken,10.450958096465857,0.42508768160763916,0.0004250876816076392,0.1,45.964,1.86590858,0.020209490569426336,1.0830911431591326
2019-09-05T17:59:54.514Z,2019-09-05T17:59:55.742Z,ETC/BTC,ETC,BTC,okex,kraken,50.68459740355313,0.03369056684700872,3.369056684700872e-05,0.1,325,0.21570250000000002,0.0029205803576999867,1.3539854001228482
2019-09-05T17:59:54.515Z,2019-09-05T17:59:58.458Z,ETC/BTC,ETC,BTC,gateio,kraken,70.00473909478016,0.04672326276264889,4.672326276264889e-05,0.1,176.305,0.11741913000000001,0.0008841742351219928,0.7530069717958161
